Pays,Année,FDI Inflows % GDP,Political Stability,Regulatory Quality,kaopen
Mauritanie,2019,10.3416772803986,-0.632382810115814,-0.865196943283081,-1.2538762092590332
Mauritanie,2020,-11.1917343784634,-0.562921166419983,-0.82778126001358,-1.2538762092590332
Mauritanie,2021,11.2328299227716,-0.700949966907501,-0.894477546215057,-1.2538762092590332
Mauritanie,2022,11.6047527792442,-0.555513858795166,-1.07720506191254,-1.2538762092590332
Mauritanie,2023,14.6644208551054,-0.516949355602264,-1.06221723556519,-1.2538762092590332
Mauritanie,2024,7.90868374475115,-0.503423988819122,-0.997108280658722,-1.2538762092590332
Mozambique,2015,23.8654900431928,-0.516435563564301,-0.56189900636673,-1.2538762092590332
Mozambique,2016,23.8654900431928,-0.516435563564301,-0.56189900636673,-1.2538762092590332
Mozambique,2017,25.9187724637849,-1.09681463241577,-0.74905401468277,-1.2538762092590332
Mozambique,2018,17.4831119319856,-0.918098509311676,-0.770824313163757,-1.2538762092590332
Mozambique,2019,11.1741431838994,-0.833229660987854,-0.796630501747131,-1.2538762092590332
Mozambique,2020,21.7841914901932,-0.765720069408417,-0.780855536460876,-1.2538762092590332
Mozambique,2021,22.3944370320025,-1.28312349319458,-0.772882997989655,-1.2538762092590332
Mozambique,2022,32.7522138534006,-1.25703620910645,-0.796027064323425,-1.2538762092590332
Mozambique,2023,16.0042947069706,-1.26560831069946,-0.726218461990356,-1.2538762092590332
Mozambique,2024,12.8268059338812,-1.26869130134583,-0.708528399467468,-1.2538762092590332
Namibie,2015,7.40068933136127,0.725260257720947,0.0441579781472683,-1.2538762092590332
Namibie,2016,7.40068933136127,0.725260257720947,0.0441579781472683,-1.2538762092590332
Namibie,2017,3.34614729388682,0.699528992176056,-0.00704942131415,-1.2538762092590332
Namibie,2018,2.17454294554105,0.621906340122223,-0.117920652031898,-1.2538762092590332
Namibie,2019,2.61353036539297,0.685118496417999,-0.000688285275828,-1.2538762092590332
Namibie,2020,-0.504528129988526,0.528890490531921,-0.0003019496798515,-1.2538762092590332
Namibie,2021,-1.41911288298827,0.512431561946869,0.0099775996059179,-1.2538762092590332
Namibie,2022,6.7751349963048,0.518789291381836,-0.0211970582604408,-1.2538762092590332
Namibie,2023,8.40158434745147,0.559885740280151,-0.0150013873353601,-1.2538762092590332
Namibie,2024,18.490819609558,0.54477721452713,-0.0622607916593552,-1.2538762092590332
Niger,2015,5.46761764113716,-1.05970323085785,-0.780473530292511,-1.2538762092590332
Niger,2016,5.46761764113716,-1.05970323085785,-0.780473530292511,-1.2538762092590332
Niger,2017,2.89774478323805,-1.10075747966766,-0.720742762088776,-1.2538762092590332
Niger,2018,3.02823024727599,-1.25950562953949,-0.72576904296875,-1.2538762092590332
Niger,2019,3.63037399478134,-1.35827600955963,-0.682929277420044,-1.2538762092590332
Niger,2020,5.56378872795104,-1.40500640869141,-0.72416877746582,-1.2538762092590332
Niger,2021,2.62395545283651,-1.66720771789551,-0.79823899269104,-1.2538762092590332
Niger,2022,3.98812628006033,-1.53854990005493,-0.760396122932434,-1.2538762092590332
Niger,2023,6.25880834283465,-1.46439230442047,-0.72080385684967,-1.2538762092590332
Niger,2024,6.14147869426916,-1.66885960102081,-0.816925287246704,-1.2538762092590332
Nigeria,2015,0.621501637000126,-1.92170512676239,-0.887996912002563,-0.6805101037025452
Nigeria,2016,0.621501637000126,-1.92170512676239,-0.887996912002563,-0.6805101037025452
Nigeria,2017,0.853395742751916,-1.87388896942139,-0.94233363866806,-0.6805101037025452
Nigeria,2018,0.642182922336257,-1.99671792984009,-0.917148351669312,-0.6805101037025452
Nigeria,2019,0.183821495682229,-2.09752702713013,-0.878198742866516,-0.6805101037025452
Nigeria,2020,0.344961215904222,-1.93315482139587,-0.940476417541504,-0.6805101037025452
Nigeria,2021,0.398484830422215,-1.89201462268829,-1.02443432807922,-0.6805101037025452
Nigeria,2022,0.543909122152652,-1.78738462924957,-0.944378197193146,-0.6805101037025452
Nigeria,2023,-0.0288727652154093,-1.77890145778656,-1.15594470500946,-0.6805101037025452
Nigeria,2024,0.384195197914633,-1.7684383392334,-0.936865150928497,-0.6805101037025452
Ouganda,2015,2.27760507458345,-0.804575800895691,-0.319013208150864,2.280830383300781
Ouganda,2016,2.27760507458345,-0.804575800895691,-0.319013208150864,2.280830383300781
Ouganda,2017,2.1425304891559,-0.71827632188797,-0.272560328245163,2.280830383300781
Ouganda,2018,2.61088918011351,-0.569948732852936,-0.263932079076767,2.280830383300781
Ouganda,2019,3.20512810607337,-0.701696455478668,-0.286415815353394,2.280830383300781
Ouganda,2020,3.68569218154174,-0.694263935089111,-0.414516240358353,2.280830383300781
Ouganda,2021,3.16881317773755,-0.811038911342621,-0.482214450836182,2.280830383300781
