Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab)
Mali,2015,10.11,-30.84,0.06,0.56
Mali,2016,15.06,48.88,0.09,0.81
Mali,2017,13.96,-7.26,0.08,0.72
Mali,2018,18.65,33.54,0.09,0.94
Mali,2019,20.97,12.44,0.1,1.02
Mali,2020,24.43,16.55,0.12,1.15
Mali,2021,30.55,25.04,0.13,1.39
Mali,2022,26.21,-14.22,0.12,1.16
Mali,2023,29.24,11.57,0.12,1.26
Mali,2024,48.333,65.3,0.1879,2.6488
Maroc,2015,1060.8,-5.11,0.96,30.6
Maroc,2016,1457.34,37.38,1.31,41.49
Maroc,2017,1752.44,20.25,1.48,49.25
Maroc,2018,1937.9,10.58,1.52,53.79
Maroc,2019,2127.86,9.8,1.65,58.34
Maroc,2020,2147.6,0.93,1.77,58.18
Maroc,2021,2552.41,18.85,1.8,69.07
Maroc,2022,2500.37,-2.04,1.91,66.98
Maroc,2023,2557.48,2.28,1.77,67.82
Maroc,2024,2738.58,7.08,1.87,71.91
Maurice,2015,265.54,-50.11,2.21,210.26
Maurice,2016,311.89,17.46,2.48,246.8
Maurice,2017,343.56,10.15,2.51,271.61
Maurice,2018,293.83,-14.47,1.99,232.17
Maurice,2019,302.49,2.95,2.1,238.94
Maurice,2020,267.66,-11.51,2.35,211.42
Maurice,2021,278.55,4.07,2.43,219.97
Maurice,2022,287.11,3.07,2.22,227.41
Maurice,2023,258.4,-10.0,1.83,204.91
Maurice,2024,267.61,3.56,1.79,212.47
Mauritanie,2015,7.7,-80.0,0.1342,1.87
Mauritanie,2016,8.87,15.19,0.1357,2.08
Mauritanie,2017,0.725,-91.83,0.0097,0.1646
Mauritanie,2018,0.77,6.21,0.01,0.18
Mauritanie,2019,0.88,14.29,0.01,0.19
Mauritanie,2020,0.93,5.68,0.01,0.2
Mauritanie,2021,1.21,30.11,0.01,0.26
Mauritanie,2022,1.76,45.45,0.02,0.37
Mauritanie,2023,15.79,797.16,0.1462,3.16
Mauritanie,2024,16.84,6.65,0.1477,3.28
Mozambique,2015,42.32,7.6,0.26,1.56
Mozambique,2016,29.07,-31.31,0.24,1.04
Mozambique,2017,23.93,-17.69,0.18,0.84
Mozambique,2018,27.77,16.06,0.18,0.94
Mozambique,2019,34.19,23.13,0.22,1.13
Mozambique,2020,35.49,3.79,0.25,1.14
Mozambique,2021,36.21,2.03,0.22,1.13
Mozambique,2022,46.75,29.13,0.25,1.42
Mozambique,2023,50.48,7.98,0.24,1.49
Mozambique,2024,52.13,3.26,0.23,1.5
Namibie,2015,570.57,-16.77,5.03,246.48
Namibie,2016,523.75,-8.21,4.88,222.11
Namibie,2017,681.71,30.16,5.29,283.74
Namibie,2018,404.92,-40.6,2.96,165.39
Namibie,2019,805.68,98.97,6.42,322.98
Namibie,2020,575.83,-28.53,5.44,226.62
Namibie,2021,740.62,28.62,5.97,263.51
Namibie,2022,673.36,-9.08,5.36,233.02
Namibie,2023,615.22,-8.63,4.96,207.63
Namibie,2024,783.82,27.41,5.86,258.68
Niger,2015,8.37,-15.52,0.09,0.42
Niger,2016,8.94,6.75,0.09,0.43
Niger,2017,9.41,5.24,0.08,0.44
Niger,2018,11.96,27.08,0.09,0.53
Niger,2019,11.48,-4.02,0.09,0.49
Niger,2020,13.61,18.58,0.1,0.56
Niger,2021,15.17,11.48,0.1,0.62
Niger,2022,14.86,-2.04,0.1,0.59
Niger,2023,15.69,5.58,0.09,0.6
Niger,2024,36.1472,130.38,0.1575,2.0499
Nigeria,2015,491.53,-9.33,0.1,2.71
Nigeria,2016,492.42,0.18,0.12,2.65
Nigeria,2017,394.33,-19.92,0.1,2.07
Nigeria,2018,590.69,49.79,0.14,3.02
Nigeria,2019,725.36,22.8,0.15,3.61
Nigeria,2020,635.6,-12.37,0.15,3.08
Nigeria,2021,651.83,2.55,0.15,2.98
Nigeria,2022,784.95,20.42,0.17,3.52
Nigeria,2023,624.32,-20.46,0.17,2.74
Nigeria,2024,317.72,-49.11,0.13,1.37
Ouganda,2015,29.18,23.3,0.09,0.76
Ouganda,2016,36.66,25.62,0.12,0.92
Ouganda,2017,40.19,9.63,0.12,0.98
Ouganda,2018,49.61,23.44,0.14,1.16
Ouganda,2019,64.81,30.65,0.17,1.46
Ouganda,2020,77.76,19.98,0.19,1.7
Ouganda,2021,91.58,17.77,0.2,1.99
Ouganda,2022,112.4,22.73,0.22,2.38
Ouganda,2023,74.31,-33.89,0.14,1.53
Ouganda,2024,68.49,-7.83,0.12,1.37
RDC,2015,0.0885,81.58,0.0002,0.0011
RDC,2016,0.1501,69.6,0.0004,0.0018
RDC,2017,0.2544,69.49,0.001,0.0024
RDC,2018,0.4314,69.58,0.001,0.0041
RDC,2019,0.7314,69.54,0.001,0.007
RDC,2020,1.24,69.54,0.0018,0.01
RDC,2021,7.2,482.3,0.01,0.07
RDC,2022,12.54,74.08,0.02,0.12
RDC,2023,20.98,67.3,0.03,0.2
RDC,2024,35.09,67.29,0.05,0.32
Sénégal,2015,57.36,7.67,0.32,3.93
Sénégal,2016,76.77,33.85,0.4,5.12
Sénégal,2017,98.92,28.85,0.47,6.42
Sénégal,2018,110.48,11.68,0.48,6.97
Sénégal,2019,118.23,7.02,0.51,7.26
Sénégal,2020,125.55,6.19,0.51,7.5
Sénégal,2021,137.72,9.69,0.5,8.0
Sénégal,2022,138.5,0.57,0.5,7.84
Sénégal,2023,159.51,15.16,0.52,8.78
Sénégal,2024,189.23,18.63,0.58,10.14
Tanzanie,2015,34.49,-5.61,0.07,0.69
Tanzanie,2016,34.11,-1.13,0.07,0.66
Tanzanie,2017,36.27,6.35,0.07,0.68
Tanzanie,2018,46.06,26.99,0.08,0.84
Tanzanie,2019,52.27,13.48,0.09,0.93
Tanzanie,2020,59.15,13.17,0.09,1.02
Tanzanie,2021,71.83,21.43,0.11,1.2
Tanzanie,2022,105.15,46.39,0.14,1.71
Tanzanie,2023,110.24,4.84,0.14,1.74
Tanzanie,2024,118.95,7.91,0.15,1.82
Tchad,2015,2.02,13.81,0.01,0.14
Tchad,2016,1.43,-29.12,0.01,0.1
Tchad,2017,1.5,4.55,0.01,0.1
Tchad,2018,1.43,-4.33,0.01,0.09
Tchad,2019,2.37,65.56,0.02,0.15
Tchad,2020,3.92,65.29,0.03,0.24
Tchad,2021,4.66,18.99,0.03,0.26
Tchad,2022,6.32,35.63,0.04,0.34
Tchad,2023,6.13,-3.08,0.03,0.32
Tchad,2024,28.2365,360.63,0.1135,1.8249
Togo,2015,33.35,-16.21,0.8,4.46
Togo,2016,37.59,12.7,0.62,4.91
Togo,2017,41.09,9.34,0.64,5.23
Togo,2018,52.35,27.39,0.74,6.51
Togo,2019,50.02,-4.44,0.69,6.07
Togo,2020,52.61,5.17,0.69,6.23
Togo,2021,63.91,21.48,0.77,7.39
Togo,2022,66.05,3.34,0.81,7.46
Togo,2023,72.74,10.13,0.8,8.02
Togo,2024,79.25,8.95,0.81,8.53
Tunisie,2015,180.42,22.2,0.39,16.14
Tunisie,2016,181.06,0.36,0.41,16.02
Tunisie,2017,186.78,3.16,0.44,16.34
Tunisie,2018,199.24,6.67,0.47,17.23
Tunisie,2019,188.52,-5.38,0.45,16.12
Tunisie,2020,219.18,16.26,0.52,18.54
Tunisie,2021,255.61,16.62,0.54,21.22
Tunisie,2022,288.16,12.73,0.64,23.78
Tunisie,2023,307.45,6.69,0.64,25.2
Tunisie,2024,368.92,19.99,0.72,30.05
Zambie,2015,83.15,-11.15,0.39,5.12
Zambie,2016,79.08,-4.88,0.38,4.72
Zambie,2017,98.93,25.1,0.38,5.72
Zambie,2018,121.93,23.25,0.46,6.84
Zambie,2019,113.63,-6.81,0.49,6.18
Zambie,2020,86.94,-23.49,0.48,4.59
Zambie,2021,90.54,4.14,0.41,4.65
Zambie,2022,122.77,35.6,0.42,6.13
Zambie,2023,128.68,4.81,0.47,6.26
Zambie,2024,119.63,-7.03,0.47,5.66
Égypte,2015,1016.04,-11.5,0.32,10.99
Égypte,2016,977.27,-3.82,0.36,10.35
Égypte,2017,681.76,-30.24,0.35,7.07
Égypte,2018,906.55,32.97,0.36,9.21
Égypte,2019,1189.07,31.16,0.37,11.84
Égypte,2020,1446.78,21.67,0.36,14.14
Égypte,2021,2112.12,45.99,0.46,19.04
Égypte,2022,2165.64,2.53,0.47,19.23
Égypte,2023,1550.85,-28.39,0.4,13.54
Égypte,2024,1083.81,-30.12,0.3,9.3
Éthiopie,2015,15.31,9.48,0.02,0.15
Éthiopie,2016,15.32,0.1,0.02,0.15
Éthiopie,2017,15.09,-1.54,0.02,0.14
Éthiopie,2018,121.31,704.02,0.15,1.11
Éthiopie,2019,134.72,11.06,0.15,1.2
Éthiopie,2020,158.33,17.52,0.16,1.38
Éthiopie,2021,21.78,-86.25,0.02,0.18
Éthiopie,2022,23.85,9.51,0.02,0.19
Éthiopie,2023,27.84,16.74,0.02,0.22
Éthiopie,2024,114.2988,310.56,0.1353,1.6119
