Company,Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab),Part de marché pays (%),Primes Emises Année Précédente (mn USD),Line_Of_Business,Company_Type
Prudential Assurance Uganda Limited,Uganda,2025,65.19,24.77,,,23.97,52.24,Life,Insurance
Sanlam Allianz,Uganda,2025,58.14,,,,20.91,,Non-Life (P&C),Insurance
Sanlam Life Insurance Uganda Limited,Uganda,2025,21.62,0.93,,,7.95,21.42,Life,Insurance
Statewide Insurance Company Limited,Uganda,2025,5.66,3.61,,,2.04,5.46,Non-Life (P&C),Insurance
TransAfrica Assurance Co. Ltd.,Uganda,2025,3.23,34.76,,,1.16,2.4,Non-Life (P&C),Insurance
A Plus General Insurance Limited,Zambia,2023,2.47,8.27,,,1.0,2.28,Non-Life (P&C),Insurance
Absa Life Limited,Zambia,2023,5.14,0.54,,,3.69,5.12,Life,Insurance
Adelvis General Insurance Limited,Zambia,2023,0.99,-56.68,,,0.4,2.28,Non-Life (P&C),Insurance
Advantage General Insurance Limited,Zambia,2023,2.22,-2.55,,,0.9,2.28,Non-Life (P&C),Insurance
Africa Pride Insurance Company,Zambia,2023,8.65,26.33,,,3.5,6.85,Non-Life (P&C),Insurance
Bestlife Insurance,Zambia,2023,0.28,,,,0.2,,Life,Insurance
Discover Insurance Company Limited,Zambia,2023,1.98,,,,0.8,,Non-Life (P&C),Insurance
General Alliance Insurance Zambia Limited,Zambia,2023,1.98,-13.38,,,0.8,2.28,Non-Life (P&C),Insurance
Golden Lotus Insurance Limited,Zambia,2023,3.96,-13.38,,,1.6,4.57,Non-Life (P&C),Insurance
Goldman Insurance Limited,Zambia,2023,6.92,1.07,,,2.8,6.85,Non-Life (P&C),Insurance
Hollard Insurance Zambia Limited,Zambia,2023,20.52,-0.14,,,8.3,20.55,Non-Life (P&C),Insurance
Hollard Insurance Zambia Limited,Zambia,2023,4.86,26.81,,,3.49,3.84,Life,Insurance
Indigo General Insurance Limited,Zambia,2023,0.49,,,,0.2,,Non-Life (P&C),Insurance
Innovate Insurance Limited,Zambia,2023,0.99,-56.68,,,0.4,2.28,Non-Life (P&C),Insurance
Klapton Insurance Zambia,Zambia,2023,0.74,,,,0.3,,Non-Life (P&C),Insurance
Liberty Life Insurance Zambia Ltd,Zambia,2023,10.7,19.56,,,7.68,8.95,Life,Insurance
Madison General Insurance Company Zambia Limited,Zambia,2023,14.58,-8.74,,,5.9,15.98,Non-Life (P&C),Insurance
Madison Life Insurance Company Zambia Ltd,Zambia,2023,15.85,12.64,,,11.38,14.07,Life,Insurance
Mayfair Insurance Company Zambia Limited,Zambia,2023,11.12,21.81,,,4.5,9.13,Non-Life (P&C),Insurance
NICO Insurance Zambia Ltd,Zambia,2023,24.72,-16.71,,,10.0,29.68,Non-Life (P&C),Insurance
OneLife Assurance Zambia Ltd,Zambia,2023,14.73,15.21,,,10.58,12.79,Life,Insurance
Phoenix of Zambia Assurance Company (2009) Limited,Zambia,2023,3.21,40.75,,,1.3,2.28,Non-Life (P&C),Insurance
Professional Insurance Corporation Zambia Plc,Zambia,2023,76.14,7.58,,,30.8,70.77,Non-Life (P&C),Insurance
Prudential Life Assurance Zambia,Zambia,2023,38.92,8.69,,,27.94,35.81,Life,Insurance
Sanlam Life Zambia Limited,Zambia,2023,21.13,-8.22,,,15.17,23.02,Life,Insurance
Savenda General Insurance,Zambia,2023,4.7,105.72,,,1.9,2.28,Non-Life (P&C),Insurance
Specialty Emergency Services,Zambia,2023,14.04,21.97,,,10.08,11.51,Life,Insurance
Swan Insurance Company Zambia Limited,Zambia,2023,19.53,113.85,,,7.9,9.13,Non-Life (P&C),Insurance
Veritas General Insurance Limited,Zambia,2023,0.74,,,,0.3,,Non-Life (P&C),Insurance
ZSIC General Insurance Limited,Zambia,2023,40.54,18.38,,,16.4,34.24,Non-Life (P&C),Insurance
ZSIC Life Ltd,Zambia,2023,13.62,6.51,,,9.78,12.79,Life,Insurance
