Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab)
ZAIRE,2016,0.1501,69.6,0.001,0.0014
ZAIRE,2017,0.2544,69.49,0.001,0.0024
ZAIRE,2018,0.4314,69.58,0.001,0.0041
ZAIRE,2019,0.7314,69.54,0.001,0.007
ZAIRE,2020,1.24,69.54,0.0018,0.01
ZAIRE,2021,7.2,482.3,0.01,0.07
ZAIRE,2022,12.54,74.08,0.02,0.12
ZAIRE,2023,20.98,67.3,0.03,0.2
ZAIRE,2024,35.09,67.29,0.05,0.32
SENEGAL,2015,57.36,7.67,0.32,3.93
SENEGAL,2016,76.77,33.85,0.4,5.12
SENEGAL,2017,98.92,28.85,0.47,6.42
SENEGAL,2018,110.48,11.68,0.48,6.97
SENEGAL,2019,118.23,7.02,0.51,7.26
SENEGAL,2020,125.55,6.19,0.51,7.5
SENEGAL,2021,137.72,9.69,0.5,8.0
SENEGAL,2022,138.5,0.57,0.5,7.84
SENEGAL,2023,159.51,15.16,0.52,8.78
SENEGAL,2024,189.23,18.63,0.58,10.14
"TANZANIA,UNITED REP.",2015,34.49,-5.61,0.07,0.69
"TANZANIA,UNITED REP.",2016,34.11,-1.13,0.07,0.66
"TANZANIA,UNITED REP.",2017,36.27,6.35,0.07,0.68
"TANZANIA,UNITED REP.",2018,46.06,26.99,0.08,0.84
"TANZANIA,UNITED REP.",2019,52.27,13.48,0.09,0.93
"TANZANIA,UNITED REP.",2020,59.15,13.17,0.09,1.02
"TANZANIA,UNITED REP.",2021,71.83,21.43,0.11,1.2
"TANZANIA,UNITED REP.",2022,105.15,46.39,0.14,1.71
"TANZANIA,UNITED REP.",2023,110.24,4.84,0.14,1.74
"TANZANIA,UNITED REP.",2024,118.95,7.91,0.15,1.82
CHAD,2015,2.02,13.81,0.01,0.14
CHAD,2016,1.43,-29.12,0.01,0.1
CHAD,2017,1.5,4.55,0.01,0.1
CHAD,2018,1.43,-4.33,0.01,0.09
CHAD,2019,2.37,65.56,0.02,0.15
CHAD,2020,3.92,65.29,0.03,0.24
CHAD,2021,4.66,18.99,0.03,0.26
CHAD,2022,6.32,35.63,0.04,0.34
CHAD,2023,6.13,-3.08,0.03,0.32
CHAD,2024,28.2365,360.63,0.1135,1.8249
TOGO,2015,33.35,-16.21,0.8,4.46
TOGO,2016,37.59,12.7,0.62,4.91
TOGO,2017,41.09,9.34,0.64,5.23
TOGO,2018,52.35,27.39,0.74,6.51
TOGO,2019,50.02,-4.44,0.69,6.07
TOGO,2020,52.61,5.17,0.69,6.23
TOGO,2021,63.91,21.48,0.77,7.39
TOGO,2022,66.05,3.34,0.81,7.46
TOGO,2023,72.74,10.13,0.8,8.02
TOGO,2024,79.25,8.95,0.81,8.53
TUNISIE,2015,180.42,22.2,0.39,16.14
TUNISIE,2016,181.06,0.36,0.41,16.02
TUNISIE,2017,186.78,3.16,0.44,16.34
TUNISIE,2018,199.24,6.67,0.47,17.23
TUNISIE,2019,188.52,-5.38,0.45,16.12
TUNISIE,2020,219.18,16.26,0.52,18.54
TUNISIE,2021,255.61,16.62,0.54,21.22
TUNISIE,2022,288.16,12.73,0.64,23.78
TUNISIE,2023,307.45,6.69,0.64,25.2
TUNISIE,2024,368.92,19.99,0.72,30.05
ZAMBIA,2015,83.15,-11.15,0.39,5.12
ZAMBIA,2016,79.08,-4.88,0.38,4.72
ZAMBIA,2017,98.93,25.1,0.38,5.72
ZAMBIA,2018,121.93,23.25,0.46,6.84
ZAMBIA,2019,113.63,-6.81,0.49,6.18
ZAMBIA,2020,86.94,-23.49,0.48,4.59
ZAMBIA,2021,90.54,4.14,0.41,4.65
ZAMBIA,2022,122.77,35.6,0.42,6.13
ZAMBIA,2023,128.68,4.81,0.47,6.26
ZAMBIA,2024,119.63,-7.03,0.47,5.66
EGYPT,2015,1016.04,-11.5,0.32,10.99
EGYPT,2016,977.27,-3.82,0.36,10.35
EGYPT,2017,681.76,-30.24,0.35,7.07
EGYPT,2018,906.55,32.97,0.36,9.21
EGYPT,2019,1189.07,31.16,0.37,11.84
EGYPT,2020,1446.78,21.67,0.36,14.14
EGYPT,2021,2112.12,45.99,0.46,19.04
EGYPT,2022,2165.64,2.53,0.47,19.23
EGYPT,2023,1550.85,-28.39,0.4,13.54
EGYPT,2024,1083.81,-30.12,0.3,9.3
ETHIOPIA,2015,15.31,9.48,0.02,0.15
ETHIOPIA,2016,15.32,0.1,0.02,0.15
ETHIOPIA,2017,15.09,-1.54,0.02,0.14
ETHIOPIA,2018,121.31,704.02,0.15,1.11
ETHIOPIA,2019,134.72,11.06,0.15,1.2
ETHIOPIA,2020,158.33,17.52,0.16,1.38
ETHIOPIA,2021,21.78,-86.25,0.02,0.18
ETHIOPIA,2022,23.85,9.51,0.02,0.19
ETHIOPIA,2023,27.84,16.74,0.02,0.22
ETHIOPIA,2024,114.2988,310.56,0.1353,1.6119
