Année,Pays,Annual Real GDP Growth (%),Current Account Balance (mn),Exchange Rate,GDP Per Capita,Gross Domestic Product (mn),Inflation Rate (%),Integration_Regionale_Score
2024,Gabon,"2,5","-13,83464827","630,4588623","7288,883933","18901,02359","1,733309513","0,34047"
2015,Ghana,"3,447586228","-2832,047271","3,909816742","1913,190384","56165,03649","17,45463471","0,40317"
2016,Ghana,"8,14359859","-2002,64","4,350533485","2012,970293","60405,92513","12,37192155","0,40317"
2017,Ghana,"6,263837512","-2044,594253","4,585324764","2196,610202","67298,83179","7,808765166","0,40317"
2018,Ghana,"6,478246241","-1863,971933","5,217366695","2186,18774","68337,92233","7,143640033","0,40317"
2019,Ghana,"0,5139","-2133,96548","5,59570837","2196,549243","70043,14272","9,887289563","0,40317"
2020,Ghana,"5,0765","-2541,432817","5,805699825","2445,501231","79524,43528","9,971088675","0,40317"
2021,Ghana,"3,8175","-1740,634667","8,272399902","2240,278556","74263,33437","31,2558951","0,40317"
2022,Ghana,"2,9448","1407,113627","11,02040863","2384,133797","80554,9077","38,10696563","0,40317"
2023,Ghana,"5,7","1680,567078","14,18194199","2394,031284","82420,30613","22,84832812","0,40317"
2024,Ghana,"5,5","2253,1","12,55809975","2698,351192","94615,7957","14,194","0,40317"
2015,Kenya,"5,878956676","-4037,779793","101,5043716","1525,235418","74815,13236","6,297249538","0,44438"
2016,Kenya,"4,805693885","-5739,957846","103,4100037","1633,505375","82036,51194","8,005649677","0,44438"
2017,Kenya,"6,318444466","-4989,164831","101,3015747","1794,091623","92202,97934","4,689806468","0,44438"
2018,Kenya,"5,365760071","-5258,353851","101,9912949","1909,28011","100378,4295","5,239637958","0,44438"
2019,Kenya,"-0,272766327","-3290,604657","106,4507828","1871,955916","100657,5031","5,405162079","0,44438"
2020,Kenya,"7,590489473","-5045,280176","109,6377487","2061,356189","109703,6572","6,107936037","0,44438"
2021,Kenya,"4,859981043","-4806,802814","117,8659897","2109,562873","114448,9775","7,659862683","0,44438"
2022,Kenya,"5,719992412","-2736,462264","139,8463898","1952,304499","108038,5845","7,67139634","0,44438"
2023,Kenya,"4,724739947","-1549,810653","134,8224792","2132,43458","120339,5613","4,489788542","0,44438"
2024,Kenya,"4,714396115","-6616,633","130,6452942","2566,292265","147645,1917","4,09974071","0,44438"
2015,Madagascar,"4,179990237","44,80465358","3176,539063","453,9707295","11848,61425","6,035758582","0,29592"
2016,Madagascar,"4,170794763","-30,11970881","3116,110107","491,8668318","13176,31314","8,609050754","0,29592"
2017,Madagascar,"3,194356515","98,04861428","3334,752197","500,4571942","13760,03352","8,594229589","0,29592"
2018,Madagascar,"4,41123213","-301,2262312","3618,321777","499,8188488","14104,66499","5,610514415","0,29592"
2019,Madagascar,"-7,137671621","-623,6530588","3787,75415","450,7716042","13051,44089","4,201793122","0,29592"
2020,Madagascar,"4,650683432","-721,9527695","3829,977783","483,4694717","14354,73221","5,812251188","0,29592"
2021,Madagascar,"4,156097784","-829,3760776","4096,116211","503,5145302","15325,60317","8,16059032","0,29592"
2022,Madagascar,"4,203046158","-636,900587","4429,579102","508,7184406","15869,94588","9,87432675","0,29592"
